POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,,16,16,2,635,101*,45.35,466,136.26,1,4,64,23
,Ruturaj Gaikwad,,,,,,,,,,,,
,,,,,,,,,,,,,
2,,16,16,2,633,95*,45.21,458,138.2,0,6,60,23
,Faf du Plessis,,,,,,,,,,,,
3,,13,13,3,626,98*,62.6,451,138.8,0,6,48,30
,KL Rahul,,,,,,,,,,,,
4,,16,16,1,587,92,39.13,471,124.62,0,3,63,16
,Shikhar Dhawan,,,,,,,,,,,,
5,,15,14,2,513,78,42.75,356,144.1,0,6,48,21
,Glenn Maxwell,,,,,,,,,,,,
6,,14,14,2,484,119,40.33,354,136.72,1,2,45,17
,Sanju Samson,,,,,,,,,,,,
7,,15,15,0,479,82,31.93,301,159.13,0,4,56,18
,Prithvi Shaw,,,,,,,,,,,,
8,,17,17,0,478,57,28.11,402,118.9,0,3,50,12
,Shubman Gill,,,,,,,,,,,,
9,,12,12,1,441,99*,40.09,314,140.44,0,4,42,18
,Mayank Agarwal,,,,,,,,,,,,
10,,16,16,4,419,58*,34.91,326,128.52,0,3,42,10
,Rishabh Pant,,,,,,,,,,,,
11,,14,14,1,411,101*,31.61,328,125.3,1,1,44,14
,Devdutt Padikkal,,,,,,,,,,,,
12,,15,15,1,405,72*,28.92,339,119.46,0,3,43,9
,Virat Kohli,,,,,,,,,,,,
13,,17,16,2,397,74*,28.35,283,140.28,0,2,41,11
,Rahul Tripathi,,,,,,,,,,,,
14,,17,16,3,383,80,29.46,314,121.97,0,2,34,17
,Nitish Rana,,,,,,,,,,,,
15,,13,13,0,381,63,29.3,299,127.42,0,1,33,14
,Rohit Sharma,,,,,,,,,,,,
16,,10,10,1,370,67,41.11,288,128.47,0,4,37,14
,Venkatesh Iyer,,,,,,,,,,,,
17,,15,15,1,357,58,25.5,260,137.3,0,1,31,19
,Moeen Ali,,,,,,,,,,,,
18,,14,14,0,317,82,22.64,221,143.43,0,2,40,10
,Suryakumar Yadav,,,,,,,,,,,,
19,,15,14,4,313,76*,31.3,211,148.34,0,2,23,16
,AB de Villiers,,,,,,,,,,,,
20,,11,11,1,297,70*,29.7,256,116.01,0,2,29,7
,Quinton de Kock,,,,,,,,,,,,
